po_id,vendor_name,order_date,expected_delivery_date,actual_delivery_date,status,total_amount
PO-2024-001,CyberTech Supply Co.,2024-04-05,2024-04-10,2024-04-13,COMPLETED,19789.11
PO-2024-002,Mekong Trading & Logistics,2024-03-02,2024-03-09,2024-03-09,COMPLETED,15910.1
PO-2024-003,Mekong Trading & Logistics,2024-12-02,2024-12-12,2024-12-12,COMPLETED,16715.62
PO-2024-004,DongA Electronics Ltd,2024-05-02,2024-05-12,2024-05-15,COMPLETED,16328.01
PO-2024-005,Mekong Trading & Logistics,2024-06-10,2024-06-15,2024-06-14,COMPLETED,21975.27
PO-2024-006,CyberTech Supply Co.,2024-02-07,2024-02-14,2024-05-20,COMPLETED,20932.15
PO-2024-007,CyberTech Supply Co.,2024-05-05,2024-05-15,2024-05-17,COMPLETED,19339.92
PO-2024-008,DongA Electronics Ltd,2024-11-09,2024-11-14,2024-11-13,COMPLETED,10790.06
PO-2024-009,CyberTech Supply Co.,2024-03-09,2024-03-19,2024-03-19,COMPLETED,17878.67
PO-2024-010,VinaHardware Global,2024-05-19,2024-05-29,2024-06-01,COMPLETED,11486.08
PO-2024-011,DongA Electronics Ltd,2024-09-15,2024-09-29,2024-09-29,COMPLETED,7476.78
PO-2024-012,Mekong Trading & Logistics,2024-05-21,2024-05-26,2024-05-26,COMPLETED,16193.81
PO-2024-013,DongA Electronics Ltd,2024-03-23,2024-04-06,2024-04-08,COMPLETED,14974.51
PO-2024-014,CyberTech Supply Co.,2024-02-08,2024-02-15,2024-02-16,COMPLETED,15320.15
PO-2024-015,VinaHardware Global,2024-08-08,2024-08-15,2024-08-16,COMPLETED,20383.7
PO-2024-016,CyberTech Supply Co.,2024-07-02,2024-07-09,2024-07-12,COMPLETED,7644.7
PO-2024-017,Pacific Component Corp,2024-07-27,2024-08-03,2024-08-03,COMPLETED,19833.69
PO-2024-018,VinaHardware Global,2024-07-30,2024-08-04,2024-08-05,COMPLETED,18518.18
PO-2024-019,Mekong Trading & Logistics,2024-12-08,2024-12-15,2024-12-18,COMPLETED,7729.53
PO-2024-020,CyberTech Supply Co.,2024-08-28,2024-09-04,2024-09-06,COMPLETED,11594.53
PO-2024-021,VinaHardware Global,2024-04-24,2024-04-29,2024-05-01,COMPLETED,11252.19
PO-2024-022,CyberTech Supply Co.,2024-05-22,2024-06-01,2024-06-03,COMPLETED,16872.29
PO-2024-023,Pacific Component Corp,2024-06-18,2024-06-23,2024-06-24,COMPLETED,8857.09
PO-2024-024,DongA Electronics Ltd,2024-01-20,2024-01-25,2024-01-26,COMPLETED,17656.72
PO-2024-025,DongA Electronics Ltd,2024-08-11,2024-08-16,2024-08-15,COMPLETED,9041.26
PO-2024-026,CyberTech Supply Co.,2024-08-11,2024-08-16,2024-08-15,COMPLETED,16989.71
PO-2024-027,VinaHardware Global,2024-07-05,2024-07-19,2024-07-22,COMPLETED,20732.33
PO-2024-028,Pacific Component Corp,2024-06-09,2024-06-14,2024-06-15,COMPLETED,14113.96
PO-2024-029,Mekong Trading & Logistics,2024-06-16,2024-06-30,2024-06-29,COMPLETED,8036.6
